文斯-卡特 身高 1.98m
文斯-卡特 体重 99kg
文斯-卡特 年龄 41
文斯-卡特 生涯 0年
文斯-卡特 毕业大学 North
文斯-卡特 球员主页 Carolina
林书豪 号码 7
林书豪 位置 控球后卫
林书豪 身高 1.90m
林书豪 体重 90kg
林书豪 年龄 30
林书豪 生涯 0年
林书豪 毕业大学 Harvard
林书豪 球员主页 http://nba.sports.163.com//player/1000000319/
科尔-阿尔德里奇 号码 45
科尔-阿尔德里奇 位置 中锋
科尔-阿尔德里奇 身高 2.11m
科尔-阿尔德里奇 体重 114kg
科尔-阿尔德里奇 年龄 30
科尔-阿尔德里奇 生涯 0年
科尔-阿尔德里奇 毕业大学 Kansas
科尔-阿尔德里奇 球员主页 http://nba.sports.163.com//player/1000000509/
杰里米-埃文斯 号码 6
杰里米-埃文斯 位置 小前锋
杰里米-埃文斯 身高 2.06m
杰里米-埃文斯 体重 90kg
杰里米-埃文斯 年龄 31
杰里米-埃文斯 生涯 6年
杰里米-埃文斯 毕业大学 Western
杰里米-埃文斯 球员主页 Kentucky
丹尼尔-汉密尔顿 号码 5
丹尼尔-汉密尔顿 位置 得分后卫
丹尼尔-汉密尔顿 身高 2.01m
丹尼尔-汉密尔顿 体重 88kg
丹尼尔-汉密尔顿 年龄 23
丹尼尔-汉密尔顿 生涯 0年
丹尼尔-汉密尔顿 毕业大学 Connecticut
丹尼尔-汉密尔顿 球员主页 http://nba.sports.163.com//player/1000000597/
Yannis 号码 4
Yannis 位置 Morin
Yannis 身高 大前锋
Yannis 体重 2.08m
Yannis 年龄 92kg
Yannis 生涯 25
Yannis 毕业大学 0年
杰伦-亚当斯 号码 10
杰伦-亚当斯 位置 得分后卫
杰伦-亚当斯 身高 1.88m
杰伦-亚当斯 体重 86kg
杰伦-亚当斯 年龄 22
杰伦-亚当斯 生涯 0年
杰伦-亚当斯 毕业大学 St.
杰伦-亚当斯 球员主页 Bonaventure
托马斯-鲁滨逊 号码 0
托马斯-鲁滨逊 位置 大前锋
托马斯-鲁滨逊 身高 2.08m
托马斯-鲁滨逊 体重 107kg
托马斯-鲁滨逊 年龄 27
托马斯-鲁滨逊 生涯 0年
托马斯-鲁滨逊 毕业大学 Kansas
托马斯-鲁滨逊 球员主页 http://nba.sports.163.com//player/1000000701/
凯文-休特 号码 3
凯文-休特 位置 得分后卫
凯文-休特 身高 2.01m
凯文-休特 体重 86kg
凯文-休特 年龄 20
凯文-休特 生涯 0年
凯文-休特 毕业大学 Maryland
凯文-休特 球员主页 http://nba.sports.163.com//player/1000000702/
奥马里-斯佩尔曼 号码 6
奥马里-斯佩尔曼 位置 大前锋
奥马里-斯佩尔曼 身高 2.06m
奥马里-斯佩尔曼 体重 111kg
奥马里-斯佩尔曼 年龄 21
奥马里-斯佩尔曼 生涯 0年
奥马里-斯佩尔曼 毕业大学 Villanova
奥马里-斯佩尔曼 球员主页 http://nba.sports.163.com//player/1000000703/
特雷-杨 号码 11
特雷-杨 位置 控球后卫
特雷-杨 身高 1.88m
特雷-杨 体重 81kg
特雷-杨 年龄 20
特雷-杨 生涯 0年
特雷-杨 毕业大学 Oklahoma
特雷-杨 球员主页 http://nba.sports.163.com//player/1000000704/
CJ-安德森 号码 8
CJ-安德森 位置 控球后卫
CJ-安德森 身高 1.96m
CJ-安德森 体重 79kg
CJ-安德森 年龄 22
CJ-安德森 生涯 0年
CJ-安德森 毕业大学 Massachusetts
CJ-安德森 球员主页 http://nba.sports.163.com//player/1000000815/
布鲁诺-卡博克洛 号码 5
布鲁诺-卡博克洛 位置 小前锋
布鲁诺-卡博克洛 身高 2.06m
布鲁诺-卡博克洛 体重 98kg
布鲁诺-卡博克洛 年龄 23
布鲁诺-卡博克洛 生涯 0年
布鲁诺-卡博克洛 球员主页 http://nba.sports.163.com//player/1000000113/
詹姆斯-恩尼斯 号码 8
詹姆斯-恩尼斯 位置 小前锋
詹姆斯-恩尼斯 身高 2.01m
詹姆斯-恩尼斯 体重 95kg
詹姆斯-恩尼斯 年龄 28
詹姆斯-恩尼斯 生涯 0年
詹姆斯-恩尼斯 毕业大学 Long
詹姆斯-恩尼斯 球员主页 Beach
马基斯-克里斯 号码 0
马基斯-克里斯 位置 大前锋
马基斯-克里斯 身高 2.08m
马基斯-克里斯 体重 108kg
马基斯-克里斯 年龄 21
马基斯-克里斯 生涯 0年
马基斯-克里斯 毕业大学 Washington
马基斯-克里斯 球员主页 http://nba.sports.163.com//player/1000000217/
布兰登-奈特 号码 2
布兰登-奈特 位置 控球后卫
布兰登-奈特 身高 1.90m
布兰登-奈特 体重 88kg
布兰登-奈特 年龄 26
布兰登-奈特 生涯 0年
布兰登-奈特 毕业大学 Kentucky
布兰登-奈特 球员主页 http://nba.sports.163.com//player/1000000221/
卡梅罗-安东尼 号码 7
卡梅罗-安东尼 位置 小前锋
卡梅罗-安东尼 身高 2.03m
卡梅罗-安东尼 体重 108kg
卡梅罗-安东尼 年龄 34
卡梅罗-安东尼 生涯 0年
卡梅罗-安东尼 毕业大学 Syracuse
卡梅罗-安东尼 球员主页 http://nba.sports.163.com//player/1000000349/
迈克尔-卡特-威廉姆斯 号码 1
迈克尔-卡特-威廉姆斯 位置 控球后卫
迈克尔-卡特-威廉姆斯 身高 1.98m
迈克尔-卡特-威廉姆斯 体重 86kg
迈克尔-卡特-威廉姆斯 年龄 27
迈克尔-卡特-威廉姆斯 生涯 0年
迈克尔-卡特-威廉姆斯 毕业大学 Syracuse
迈克尔-卡特-威廉姆斯 球员主页 http://nba.sports.163.com//player/1000000410/
以赛亚-哈尔滕施泰因 号码 55
以赛亚-哈尔滕施泰因 位置 大前锋
以赛亚-哈尔滕施泰因 身高 2.13m
以赛亚-哈尔滕施泰因 体重 112kg
以赛亚-哈尔滕施泰因 年龄 20
以赛亚-哈尔滕施泰因 生涯 0年
以赛亚-哈尔滕施泰因 球员主页 http://nba.sports.163.com//player/1000000490/
克里斯-保罗 号码 3
克里斯-保罗 位置 控球后卫
克里斯-保罗 身高 1.83m
克里斯-保罗 体重 79kg
克里斯-保罗 年龄 33
克里斯-保罗 生涯 0年
克里斯-保罗 毕业大学 Wake
克里斯-保罗 球员主页 Forest
詹姆斯-哈登 号码 13
詹姆斯-哈登 位置 得分后卫
詹姆斯-哈登 身高 1.96m
詹姆斯-哈登 体重 99kg
詹姆斯-哈登 年龄 29
詹姆斯-哈登 生涯 0年
詹姆斯-哈登 毕业大学 Arizona
詹姆斯-哈登 球员主页 State
克林特-卡佩拉 号码 15
克林特-卡佩拉 位置 中锋
克林特-卡佩拉 身高 2.08m
克林特-卡佩拉 体重 108kg
克林特-卡佩拉 年龄 24
克林特-卡佩拉 生涯 0年
克林特-卡佩拉 球员主页 http://nba.sports.163.com//player/1000000499/
周琦 号码 9
周琦 位置 大前锋
周琦 身高 2.16m
周琦 体重 95kg
周琦 年龄 22
周琦 生涯 0年
周琦 球员主页 http://nba.sports.163.com//player/1000000500/
PJ-塔克 号码 17
PJ-塔克 位置 小前锋
PJ-塔克 身高 1.98m
PJ-塔克 体重 111kg
PJ-塔克 年龄 33
PJ-塔克 生涯 0年
PJ-塔克 毕业大学 Texas
PJ-塔克 球员主页 http://nba.sports.163.com//player/1000000501/
内内-希拉里奥 号码 42
内内-希拉里奥 位置 中锋
内内-希拉里奥 身高 2.11m
